,geo_id,geo_type,multi,single,condo,land,owner,rental,total_units,owner_pct,house_age_avg,sqft_avg,lot_size_avg,house_age,lot_size
55,41180,county,0,558,6,0,648,243,891,0.7273,1966,2125.721,5.0162945,"{'t1990-99': 135, 't1980-89': 93, 't1969': 402, 't2000-09': 159, 't1970-79': 102}","{'a125': 12, 'a75': 99, 'a50': 258, 'a25': 126, 'a3': 225, 'a1': 66, 'a2': 105}"
56,66247,county,4,444,0,4,20,434,454,0.0441,1986,1589.9282,3.8543034,"{'t1990-99': 110, 't1980-89': 156, 't2010-19': 6, 't1969': 50, 't2000-09': 82, 't1970-79': 50}","{'a125': 28, 'a75': 88, 'a50': 92, 'a25': 106, 'a3': 92, 'a1': 20, 'a2': 28}"
57,20573,county,35,93185,4430,515,77730,20565,98295,0.7908,1983,2185.422,1.5818218,"{'t1990-99': 20450, 't1980-89': 15610, 't2010-19': 2720, 't1969': 21250, 't2000-09': 25695, 't1970-79': 12565, 't2020-29': 5}","{'a125': 6680, 'a75': 17940, 'a50': 24905, 'a25': 11685, 'a3': 10980, 'a1': 12745, 'a2': 13360}"
58,46869,county,0,139,3,0,68,74,142,0.4789,1957,2186.4648,2.1471012,"{'t1990-99': 21, 't1980-89': 7, 't2010-19': 2, 't1969': 68, 't2000-09': 26, 't1970-79': 18}","{'a125': 10, 'a75': 16, 'a50': 35, 'a25': 32, 'a3': 19, 'a1': 19, 'a2': 11}"
59,62089,county,0,2,0,0,1,1,2,0.5,1978,2287.5,0.32750458,"{'t1980-89': 1, 't1970-79': 1}","{'a50': 1, 'a25': 1}"
60,58946,county,2884,168078,4642,2009,150788,50998,201786,0.7473,1985,2159.5027,0.32399452,"{'t1990-99': 30213, 't1980-89': 34677, 't2010-19': 13173, 't1969': 43054, 't2000-09': 59395, 't1970-79': 21274}","{'a125': 22670, 'a75': 4928, 'a50': 33263, 'a25': 130457, 'a3': 2557, 'a1': 3334, 'a2': 4577}"
61,16186,county,212,6975,665,21,6758,1116,7874,0.8583,1962,2065.05,0.50138474,"{'t1990-99': 155, 't1980-89': 227, 't2010-19': 1098, 't1969': 5131, 't2000-09': 1097, 't1970-79': 166}","{'a125': 2483, 'a75': 16, 'a50': 1055, 'a25': 3683, 'a3': 125, 'a1': 267, 'a2': 245}"
62,64474,county,54,2924,34,2,2782,235,3017,0.9221,1986,2276.1687,0.3694539,"{'t1990-99': 910, 't1980-89': 72, 't2010-19': 193, 't1969': 713, 't2000-09': 969, 't1970-79': 160}","{'a125': 197, 'a75': 125, 'a50': 510, 'a25': 2013, 'a3': 51, 'a1': 60, 'a2': 61}"
63,27582,county,12,26931,327,360,16905,10740,27645,0.6115,1990,2113.8071,4.195695,"{'t1990-99': 6615, 't1980-89': 2367, 't2010-19': 969, 't1969': 3444, 't2000-09': 11613, 't1970-79': 2637}","{'a125': 597, 'a75': 6090, 'a50': 6555, 'a25': 2244, 'a3': 4095, 'a1': 3684, 'a2': 4380}"
64,28056,county,0,13105,360,45,9870,3675,13545,0.7287,1957,1893.7942,2.0149226,"{'t1990-99': 1360, 't1980-89': 895, 't2010-19': 285, 't1969': 7525, 't2000-09': 1890, 't1970-79': 1590}","{'a125': 790, 'a75': 900, 'a50': 4025, 'a25': 4830, 'a3': 1565, 'a1': 515, 'a2': 920}"
